date,text,location,month,formatted_text,polarity,Subjectivity,Sentiment,Emotion
16-08-2021,https://t.co/SI30mg6Ux9 #CovidVaccine #Trending #Afghanistan #BB23 https://t.co/pAxyZKLqGF,"Florida, USA",8,covidvaccine trending afghanistan bb23,0.0,0.0,Neutral,No emotion
15-08-2021,Check out JudyMcflyy's video! #TikTok https://t.co/Ev3Na1kX9w FDA WILL NOT APPROVE #CovidVaccine !!!,"Tennessee, USA",8,check judymcflyys video tiktok approve covidvaccine,0.0,0.0,Neutral,No emotion
15-08-2021,"JFC. You are not inspiring. You are not patriots. You are not taking a heroic stand for your rights.  The rest of the world is laughing at us and people are dying because of dumb shit like this.  Fucking STOP.

https://t.co/JRh7yBqueT 

#COVID #CovidIsNotOver #CovidVaccine","Texas, USA",8,inspiring patriots taking heroic stand rights rest world laughing people dying dumb shit like fucking stop covid covidisnotover covidvaccine,0.005,0.8,Positive,positive
15-08-2021,Common sense is NO longer common! Can’t give people a clue if they don’t use the good sense that God has given to them. #VaccinePassport #Antibodies #CovidVaccine #FauciLiedPeopleDied #NoMoreLockdowns #NoVaccineMandates https://t.co/sc2ZCH6Wlm,"Texas, USA",8,common sense longer common cant give people clue dont good sense given vaccinepassport antibodies covidvaccine fauciliedpeopledied nomorelockdowns novaccinemandates,0.0333333333333333,0.5333333333333333,Positive,positive
15-08-2021,"#NowPlaying Close Action (Live At Reading Festival / 1983) by Big Country on @amazonmusic
#sundayvibes
#ComeOnEngland
#CovidVaccine
#ImFullyVax 💉
#GetVaxMemphis 🤒
#DefendMemphis
#FC901 
https://t.co/bBRzzSYZCP","Arkansas, USA",8,nowplaying close action live reading festival 1983 country sundayvibes comeonengland covidvaccine imfullyvax getvaxmemphis defendmemphis fc901,0.1181818181818181,0.3,Positive,No emotion
15-08-2021,"#NowPlaying Back Door Man ( Absolutely Live Version ) by The Doors on @amazonmusic
#sundayvibes
#ComeOnEngland
#CovidVaccine
#ImFullyVax 💉
#GetVaxMemphis 🤒
#DefendMemphis
#FC901 
https://t.co/nstw3PkWkz","Arkansas, USA",8,nowplaying back door absolutely live version doors sundayvibes comeonengland covidvaccine imfullyvax getvaxmemphis defendmemphis fc901,0.0681818181818181,0.25,Positive,No emotion
15-08-2021,Her parents should be held responsible. #CovidIsNotOver #COVIDIOTS #CovidVaccine https://t.co/kTTcZ0X76r,"South Carolina, USA",8,parents held responsible covidisnotover covidiots covidvaccine,0.2,0.55,Positive,trust
15-08-2021,"Well written @RobertPearlMD. Let’s stop punishing the vaccinated.  More restaurants, bars, casinos, theaters and sporting events need to require proof of vaccination to enter!  Let those of us who care for more than ourselves get on with our lives! #CovidVaccine https://t.co/qelFGPWKST","Oregon, USA",8,well written lets stop punishing vaccinated restaurants bars casinos theaters sporting events need require proof vaccination enter care lives covidvaccine,0.0,0.0,Neutral,fear
14-08-2021,"The Covid house of cards ... the deck is stacked.  #COVIDIOTS #CovidVaccine #antivaxxers

https://t.co/IsrYDW9gSh","Colorado, USA",8,covid house cards deck stacked covidiots covidvaccine antivaxxers,0.0,0.0,Neutral,No emotion
14-08-2021,"Interesting to see @instagram permits fake #CovidVaccine cards for sale. Multiple accounts offering #VaccinationCertificate or cards, &amp; #instagram says they are permitted to conduct business. Disappointed to see what battles #socialmedia is willing to fight.","Wisconsin, USA",8,interesting permits fake covidvaccine cards sale multiple accounts offering vaccinationcertificate cards instagram says permitted conduct business disappointed battles socialmedia willing fight,-0.1,0.6,Negative,trust
14-08-2021,@BldCancerDoc @BMT_updates @MediHumdani @ASH_hematology @ASCO @ASTCT_Journal The recommendation was to provide #CovidVaccine boosters to immune compromised pts without checking AB titers. While less immunologically attractive it’s the right thing to do with the current data #GetVaccinated,"New York, USA",8,recommendation provide covidvaccine boosters immune compromised without checking titers less immunologically attractive right thing current data getvaccinated,0.2297619047619047,0.5005952380952381,Positive,trust
14-08-2021,#GetVaccinatedNow #gospel #love #COVID19 #CovidVaccine #CovidIsNotOver https://t.co/ebDrVwHKAL,"Florida, USA",8,getvaccinatednow gospel love covid19 covidvaccine covidisnotover,0.5,0.6,Positive,positive
13-08-2021,"This tool searches by zip code, so if you aren’t near a @cvspharmacy or @Walgreens, you can find other locations with your particular vaccine, be it Pfizer or Moderna. 💛#immunocompromised #Booster #CovidVaccine #CovidBooster #COVID19","New York, USA",8,tool searches code arent near find locations particular vaccine pfizer moderna immunocompromised booster covidvaccine covidbooster covid19,0.1333333333333333,0.3666666666666667,Positive,positive
13-08-2021,"#CovidVaccine booster info for my #immunocompromised pals: @Walgreens and @cvspharmacy have boosters as of today! Neither store has updated their website to allow online booking, so search https://t.co/qqWcMCYPXA to narrow results for a walk-in. 💉
https://t.co/pI2Q4Nmk4b","New York, USA",8,covidvaccine booster info immunocompromised pals boosters today neither store updated website allow online booking search narrow results walkin,-0.2,0.4,Negative,positive
13-08-2021,Does anyone know the long term effects of the Covid Vaccine? #COVID19 #CovidVaccine,"Tennessee, USA",8,anyone know long term effects covid vaccine covid19 covidvaccine,-0.05,0.4,Negative,anticipation
13-08-2021,https://t.co/SI30mg6Ux9 #trending #BreakingNews #CovidVaccine https://t.co/VPRsOb727I,"Florida, USA",8,trending breakingnews covidvaccine,0.0,0.0,Neutral,No emotion
13-08-2021,"#BREAKING: The shots could be available as soon as this weekend. 

I had to take a covid test Monday over fears of a breakthrough infection. This helps. #Covid #CovidVaccine #immunocompromised 

https://t.co/LidTK0XMvp","New York, USA",8,breaking shots could available soon weekend take covid test monday fears breakthrough infection helps covid covidvaccine immunocompromised,0.4,0.4,Positive,fear
12-08-2021,"@DrBetofMDPhD @US_FDA @mini_kamboj @tmprowell @VincentRK @ASTCT @ASH_hematology For HCW &amp; non-immunocompromised people, assume you had good #CovidVaccine response so would give booster if 1. new vaccine that targets new #COVID19 variants 2. Response wanes with time and drops below threshold (to be defined). Key is to #GetVaccinated","New York, USA",12,nonimmunocompromised people assume good covidvaccine response would give booster vaccine targets covid19 variants response wanes time drops threshold defined getvaccinated,0.7,0.6000000000000001,Positive,positive
12-08-2021,"To go deeper... its like if other ppl not wearing their seat belt affected your seat belts' effectiveness. Wear your seat belt &amp; get vaccinated.
#CovidIsNotOver #COVIDIOTS #COVID19 #CovidVaccine #WearAMask #WearASeatbelt
This Graham Elwood's video! #TikTok https://t.co/AJmYZQP48m","Wisconsin, USA",12,deeper like wearing seat belt affected seat belts effectiveness wear seat belt vaccinated covidisnotover covidiots covid19 covidvaccine wearamask wearaseatbelt graham elwoods video tiktok,0.0,0.0,Neutral,fear
12-08-2021,"Why isn't this trending??? This literally destroys the narrative that you have to get vaccinated with antibodies that you probably already have. 
#ObamaVariant #CovidVaccine #Delta #COVID #COVIDIOTS #COVID19 https://t.co/CLZs3xacB5","New York, USA",12,isnt trending literally destroys narrative vaccinated antibodies probably already obamavariant covidvaccine delta covid covidiots covid19,0.0,0.0,Neutral,No emotion
12-08-2021,Me too Bro!! #cballrn #COVID #COVID19 #CovidIsNotOver #CovidVaccine #Doctoral #doctorate #doctorialstudent #edd #education #EducationForAll #Hospitals #NathanFillion https://t.co/DyDHP03Z1g https://t.co/Txkqwc1b1y,"Illinois, USA",12,cballrn covid covid19 covidisnotover covidvaccine doctoral doctorate doctorialstudent education educationforall hospitals nathanfillion,0.0,0.0,Neutral,No emotion
12-08-2021,The sad truth of nursing. You go brother !! #cballrn #COVID #CovidIsNotOver #CovidVaccine #Doctoral #doctorate #doctorialstudent #edd #education #EducationForAll #Hospitals #Nursing #nurses #Nurse #NathanFillion https://t.co/RjWmJV8tnY https://t.co/bsuyjKTdIW,"Illinois, USA",12,truth nursing brother cballrn covid covidisnotover covidvaccine doctoral doctorate doctorialstudent education educationforall hospitals nursing nurses nurse nathanfillion,0.0,0.0,Neutral,trust
12-08-2021,This is why Nurses are always in need #Hospitals #GetVaccinatedNow #vaccination #vaccinated #CovidVaccine #cballrn #CovidIsNotOver #Doctoral #edd #doctorialstudent #NathanFillion #doctorate #nurse #Nursing #GetVaccinatedNow #edrn #EducationForAll #education #Nursing #nurses https://t.co/JKq5MiKNHS,"Illinois, USA",12,nurses always need hospitals getvaccinatednow vaccination vaccinated covidvaccine cballrn covidisnotover doctoral doctorialstudent nathanfillion doctorate nurse nursing getvaccinatednow edrn educationforall education nursing nurses,0.0,0.0,Neutral,trust
12-08-2021,"Twitter keeps sending me unsolicited Covid recommendations ....

Buzz off #COVIDIOTS #twitter #CovidVaccine","Michigan, USA",12,twitter keeps sending unsolicited covid recommendations buzz covidiots twitter covidvaccine,0.0,0.0,Neutral,No emotion
